customer_id,full_name,gender,age,city,loyalty_card,register_date
1,Соколов Полина Волков,Ж,73,Мозырь,да,2023-07-30
2,Новиков Роман Соколов,М,72,Гродно,да,2023-12-07
3,Лебедев Андрей Крылов,М,41,Бобруйск,да,2022-12-15
4,Зайцев Ксения Кузнецов,Ж,35,Минск,да,2023-12-16
5,Новиков Николай Смирнов,М,69,Гродно,да,2022-11-30
6,Попов Александр Зайцев,М,70,Орша,да,2022-02-20
7,Иванов Виктория Лебедев,Ж,26,Барановичи,нет,2024-01-16
8,Крылов Дмитрий Орлов,М,34,Мозырь,да,2024-03-20
9,Волков Максим Морозов,М,49,Мозырь,да,2022-06-10
10,Кузнецов Андрей Соколов,М,28,Гомель,нет,2022-03-20
11,Волков Елена Соколов,Ж,36,Бобруйск,да,2023-02-05
12,Козлов Максим Крылов,М,58,Орша,нет,2023-07-23
13,Фёдоров Ольга Попов,Ж,18,Мозырь,да,2022-06-28
14,Петров Полина Волков,Ж,22,Орша,да,2022-01-16
15,Иванов Юлия Орлов,Ж,60,Бобруйск,нет,2023-08-29
16,Смирнов Роман Новиков,М,55,Гомель,да,2023-02-03
17,Волков Денис Иванов,М,74,Бобруйск,да,2022-08-13
18,Новиков Татьяна Кузнецов,Ж,70,Орша,нет,2023-12-19
19,Попов Юлия Волков,Ж,64,Бобруйск,да,2022-05-20
20,Новиков Денис Волков,М,28,Минск,нет,2022-12-24
21,Соколов Екатерина Орлов,Ж,45,Борисов,нет,2022-01-02
22,Лебедев Наталья Козлов,Ж,29,Мозырь,да,2024-09-23
23,Крылов Роман Соколов,М,66,Мозырь,нет,2023-05-29
24,Смирнов Алина Соколов,Ж,50,Минск,да,2022-05-06
25,Крылов Кирилл Попов,М,25,Борисов,да,2022-06-26
26,Лебедев Николай Зайцев,М,24,Могилёв,нет,2022-02-12
27,Лебедев Максим Крылов,М,68,Минск,да,2024-03-16
28,Петров Владимир Смирнов,М,37,Барановичи,нет,2023-01-17
29,Новиков Кирилл Кузнецов,М,49,Могилёв,да,2024-07-19
30,Зайцев Дарья Лебедев,Ж,18,Брест,да,2024-01-28
31,Фёдоров Анна Крылов,Ж,69,Могилёв,да,2022-06-21
32,Смирнов Андрей Крылов,М,50,Гродно,нет,2024-09-10
33,Лебедев Наталья Зайцев,Ж,57,Бобруйск,нет,2024-04-07
34,Зайцев Роман Фёдоров,М,65,Брест,да,2022-04-03
35,Орлов Ольга Зайцев,Ж,31,Орша,да,2023-01-07
36,Волков Ольга Соколов,Ж,39,Борисов,да,2024-04-15
37,Волков Николай Морозов,М,25,Барановичи,нет,2022-03-16
38,Соколов Максим Попов,М,19,Минск,нет,2022-03-18
39,Иванов Артём Волков,М,37,Борисов,да,2023-07-21
40,Козлов Виктория Иванов,Ж,35,Орша,нет,2022-06-18
41,Иванов Максим Крылов,М,52,Мозырь,нет,2022-04-29
42,Иванов Наталья Лебедев,Ж,21,Могилёв,да,2022-01-15
43,Зайцев Иван Зайцев,М,30,Минск,да,2022-11-15
44,Смирнов Полина Фёдоров,Ж,60,Брест,нет,2022-10-29
45,Соколов Михаил Смирнов,М,39,Мозырь,нет,2024-08-08
46,Кузнецов Андрей Новиков,М,74,Бобруйск,нет,2023-05-18
47,Лебедев Сергей Попов,М,45,Мозырь,нет,2023-02-03
48,Лебедев Ксения Лебедев,Ж,19,Минск,нет,2023-09-18
49,Новиков Ирина Орлов,Ж,56,Орша,да,2022-04-15
50,Новиков Ирина Иванов,Ж,35,Бобруйск,нет,2023-03-11
51,Петров Алина Морозов,Ж,42,Гомель,нет,2023-05-06
52,Смирнов Николай Иванов,М,48,Мозырь,нет,2024-06-01
53,Смирнов Михаил Крылов,М,33,Минск,нет,2024-08-24
54,Морозов Дмитрий Козлов,М,65,Барановичи,да,2022-10-16
55,Волков Денис Петров,М,57,Мозырь,нет,2022-02-18
56,Новиков Дарья Смирнов,Ж,23,Минск,да,2022-04-18
57,Новиков Егор Волков,М,23,Гродно,нет,2023-11-19
58,Козлов Пётр Петров,М,65,Витебск,нет,2023-10-04
59,Зайцев Алина Соколов,Ж,75,Гродно,да,2024-02-02
60,Попов Иван Смирнов,М,20,Брест,да,2022-05-30
61,Попов Полина Орлов,Ж,39,Мозырь,да,2022-04-20
62,Морозов Ирина Крылов,Ж,27,Гомель,нет,2022-09-13
63,Зайцев Кирилл Петров,М,30,Борисов,да,2023-03-13
64,Попов Мария Кузнецов,Ж,61,Могилёв,нет,2022-05-23
65,Орлов Сергей Волков,М,56,Бобруйск,да,2024-09-25
66,Фёдоров Наталья Волков,Ж,52,Мозырь,да,2024-01-26
67,Зайцев Дарья Соколов,Ж,23,Борисов,нет,2022-07-05
68,Смирнов Алина Новиков,Ж,71,Борисов,да,2023-03-05
69,Орлов Егор Кузнецов,М,21,Могилёв,да,2023-05-14
70,Морозов Александр Крылов,М,31,Мозырь,нет,2022-04-01
71,Попов Наталья Крылов,Ж,61,Гродно,да,2024-05-09
72,Петров Виктория Смирнов,Ж,56,Брест,да,2023-08-02
73,Иванов Артём Новиков,М,23,Орша,нет,2024-03-11
74,Крылов Ксения Иванов,Ж,63,Витебск,да,2023-03-01
75,Соколов Михаил Крылов,М,50,Борисов,нет,2023-12-21
76,Козлов Виктория Орлов,Ж,43,Пинск,нет,2024-02-26
77,Морозов Елена Попов,Ж,65,Брест,нет,2023-07-08
78,Петров Артём Иванов,М,22,Борисов,нет,2023-10-18
79,Лебедев Кирилл Смирнов,М,75,Бобруйск,нет,2024-06-17
80,Иванов Андрей Козлов,М,29,Орша,нет,2022-02-21
81,Морозов Ксения Орлов,Ж,51,Мозырь,нет,2023-04-26
82,Волков Михаил Орлов,М,73,Барановичи,да,2024-02-17
83,Фёдоров Светлана Иванов,Ж,48,Гродно,да,2023-04-14
84,Козлов Иван Иванов,М,73,Пинск,да,2022-05-30
85,Иванов Роман Петров,М,28,Минск,да,2023-07-02
86,Новиков Алина Козлов,Ж,35,Барановичи,да,2022-09-08
87,Иванов Андрей Иванов,М,28,Пинск,нет,2024-04-07
88,Смирнов Екатерина Волков,Ж,52,Гродно,нет,2022-07-12
89,Кузнецов Ирина Новиков,Ж,25,Борисов,да,2023-09-12
90,Кузнецов Ольга Орлов,Ж,43,Витебск,нет,2024-07-17
91,Попов Пётр Орлов,М,36,Гродно,да,2022-08-24
92,Морозов Николай Зайцев,М,43,Бобруйск,нет,2023-01-05
93,Лебедев Дмитрий Попов,М,24,Минск,да,2024-03-07
94,Смирнов Роман Орлов,М,27,Минск,да,2024-07-24
95,Попов Алина Новиков,Ж,48,Борисов,нет,2023-12-19
96,Кузнецов Анна Волков,Ж,64,Брест,нет,2022-10-28
97,Козлов Ксения Смирнов,Ж,44,Борисов,нет,2023-03-29
98,Лебедев Иван Зайцев,М,48,Бобруйск,да,2023-05-25
99,Соколов Наталья Попов,Ж,52,Могилёв,да,2024-05-17
100,Орлов Светлана Фёдоров,Ж,44,Борисов,нет,2022-06-01
101,Волков Александр Волков,М,52,Пинск,нет,2023-05-08
102,Петров Михаил Кузнецов,М,43,Брест,да,2023-08-03
103,Фёдоров Екатерина Попов,Ж,56,Гомель,нет,2022-03-08
104,Лебедев Ольга Волков,Ж,67,Витебск,да,2024-03-12
105,Новиков Светлана Попов,Ж,30,Витебск,да,2022-10-04
106,Иванов Максим Соколов,М,20,Витебск,да,2022-03-08
107,Фёдоров Дмитрий Зайцев,М,31,Бобруйск,нет,2022-05-19
108,Попов Пётр Новиков,М,63,Борисов,нет,2024-04-06
109,Морозов Егор Волков,М,19,Пинск,нет,2023-04-07
110,Кузнецов Ирина Фёдоров,Ж,45,Витебск,нет,2023-11-30
111,Волков Андрей Фёдоров,М,23,Мозырь,нет,2023-02-21
112,Зайцев Михаил Иванов,М,45,Гродно,да,2023-11-23
113,Кузнецов Максим Смирнов,М,26,Минск,нет,2022-06-30
114,Фёдоров Юлия Зайцев,Ж,34,Брест,да,2023-11-25
115,Морозов Ирина Попов,Ж,70,Брест,да,2022-01-18
116,Петров Кирилл Морозов,М,33,Гродно,да,2024-08-03
117,Козлов Дарья Лебедев,Ж,48,Бобруйск,нет,2022-07-04
118,Волков Ольга Морозов,Ж,34,Мозырь,нет,2024-05-27
119,Крылов Анна Фёдоров,Ж,36,Гродно,да,2023-07-21
120,Волков Денис Козлов,М,33,Бобруйск,да,2024-03-21
121,Новиков Кирилл Морозов,М,20,Гомель,нет,2022-11-28
122,Соколов Светлана Зайцев,Ж,31,Брест,нет,2022-06-18
123,Волков Александр Иванов,М,51,Мозырь,да,2022-01-06
124,Козлов Кирилл Иванов,М,74,Минск,нет,2023-02-12
125,Крылов Ольга Орлов,Ж,32,Брест,нет,2024-08-10
126,Смирнов Денис Волков,М,28,Гомель,нет,2024-05-11
127,Петров Артём Фёдоров,М,59,Минск,нет,2022-03-06
128,Смирнов Денис Кузнецов,М,71,Орша,да,2022-08-16
129,Зайцев Ирина Новиков,Ж,63,Минск,нет,2024-07-30
130,Зайцев Владимир Волков,М,59,Мозырь,да,2022-12-17
131,Фёдоров Егор Зайцев,М,26,Орша,да,2022-09-09
132,Морозов Максим Морозов,М,34,Мозырь,нет,2024-08-26
133,Лебедев Владимир Орлов,М,46,Витебск,да,2023-12-14
134,Попов Николай Морозов,М,27,Витебск,да,2024-06-15
135,Петров Михаил Волков,М,53,Минск,нет,2022-11-02
136,Фёдоров Иван Иванов,М,62,Брест,да,2023-08-09
137,Попов Елена Орлов,Ж,52,Гродно,нет,2022-05-25
138,Козлов Андрей Фёдоров,М,29,Гродно,нет,2024-07-15
139,Смирнов Егор Козлов,М,42,Мозырь,нет,2022-05-10
140,Фёдоров Роман Соколов,М,21,Витебск,да,2024-03-21
